k_over_kpivot,scalar_transfer,tensor_transfer
2.000000000e-05,5.737053116e+03,9.975169086e-01
2.283470205e-05,4.676066644e+03,9.975853428e-01
2.607118088e-05,3.811358474e+03,9.976537551e-01
2.976638238e-05,3.106609827e+03,9.977221397e-01
3.398532364e-05,2.532222995e+03,9.977904896e-01
3.880223696e-05,2.064077488e+03,9.978587967e-01
4.430187600e-05,1.682516379e+03,9.979270507e-01
5.058100693e-05,1.371520249e+03,9.979952397e-01
5.775011113e-05,1.118034019e+03,9.980633491e-01
6.593532905e-05,9.114183588e+02,9.981313616e-01
7.528067967e-05,7.430026277e+02,9.981992565e-01
8.595059452e-05,6.057205529e+02,9.982670089e-01
9.813281084e-05,4.938133316e+02,9.983345895e-01
1.120416748e-04,4.025876790e+02,9.984019634e-01
1.279219131e-04,3.282186547e+02,9.984690893e-01
1.460529386e-04,2.675889788e+02,9.985359185e-01
1.667537668e-04,2.181580842e+02,9.986023940e-01
1.903886290e-04,1.778554040e+02,9.986684490e-01
2.173733808e-04,1.449934064e+02,9.987340058e-01
2.481828193e-04,1.181967240e+02,9.987989744e-01
2.833590366e-04,9.634439881e+01,9.988632513e-01
3.235209587e-04,7.852281605e+01,9.989267181e-01
3.693752349e-04,6.398734828e+01,9.989892402e-01
4.217286717e-04,5.213109911e+01,9.990506662e-01
4.815024282e-04,4.245943242e+01,9.991108273e-01
5.497482242e-04,3.456921732e+01,9.991695371e-01
6.276668450e-04,2.813191666e+01,9.992265931e-01
7.166292697e-04,2.287980863e+01,9.992817781e-01
8.182007926e-04,1.859476243e+01,9.993348635e-01
9.341685658e-04,1.509909593e+01,9.993856148e-01
1.066573043e-03,1.224813051e+01,9.994337974e-01
1.217743883e-03,9.924128536e+00,9.994791863e-01
1.390340937e-03,8.031356039e+00,9.995215765e-01
1.587401052e-03,6.492058522e+00,9.995607955e-01
1.812391503e-03,5.243174045e+00,9.995967179e-01
2.069270998e-03,4.233635887e+00,9.996292792e-01
2.362559335e-03,3.422139282e+00,9.996584890e-01
2.697416925e-03,2.775264972e+00,9.996844412e-01
3.079735589e-03,2.265869623e+00,9.997073183e-01
3.516242228e-03,1.871673525e+00,9.997273881e-01
4.014617181e-03,1.574004012e+00,9.997449912e-01
4.583629358e-03,1.356692056e+00,9.997605182e-01
5.233290535e-03,1.205167719e+00,9.997743784e-01
5.975031505e-03,1.105845155e+00,9.997869652e-01
6.821903208e-03,1.045902790e+00,9.997986223e-01
7.788806358e-03,1.013513397e+00,9.998096204e-01
8.892753625e-03,9.984416073e-01,9.998201482e-01
1.015316897e-02,9.927385603e-01,9.998303190e-01
1.159222942e-02,9.911420862e-01,9.998401893e-01
1.323525524e-02,9.908835162e-01,9.998497817e-01
1.511115550e-02,9.909367554e-01,9.998591026e-01
1.725293667e-02,9.911034422e-01,9.998681534e-01
1.969828342e-02,9.913798497e-01,9.998769341e-01
2.249022164e-02,9.917392275e-01,9.998854440e-01
2.567787551e-02,9.921408093e-01,9.998936816e-01
2.931733182e-02,9.925581898e-01,9.999016451e-01
3.347262685e-02,9.929777902e-01,9.999093319e-01
3.821687305e-02,9.933920392e-01,9.999167389e-01
4.363354547e-02,9.937964678e-01,9.999238623e-01
4.981795051e-02,9.941883484e-01,9.999306980e-01
5.687890283e-02,9.945659147e-01,9.999372412e-01
6.494063995e-02,9.949279816e-01,9.999434864e-01
7.414500820e-02,9.952738471e-01,9.999494280e-01
8.465395854e-02,9.956034166e-01,9.999550600e-01
9.665239603e-02,9.959174796e-01,9.999603767e-01
1.103514333e-01,9.962179559e-01,9.999653729e-01
1.259921050e-01,9.965077793e-01,9.999700444e-01
1.438496089e-01,9.967901567e-01,9.999743881e-01
1.642381480e-01,9.970674489e-01,9.999784024e-01
1.875164587e-01,9.973404278e-01,9.999820866e-01
2.140941232e-01,9.976083953e-01,9.999854407e-01
2.444387757e-01,9.978698782e-01,9.999884649e-01
2.790843306e-01,9.981233030e-01,9.999911594e-01
3.186403768e-01,9.983673590e-01,9.999935240e-01
3.638029032e-01,9.986010861e-01,9.999955581e-01
4.153665450e-01,9.988238280e-01,9.999972607e-01
4.742385648e-01,9.990351480e-01,9.999986304e-01
5.414548164e-01,9.992347546e-01,9.999996656e-01
6.181979703e-01,9.994224478e-01,1.000000364e+00
7.058183230e-01,9.995980820e-01,1.000000725e+00
8.058575553e-01,9.997615449e-01,1.000000744e+00
9.200758585e-01,9.999127429e-01,1.000000421e+00
1.050482905e+00,1.000051594e+00,9.999997514e-01
1.199373207e+00,1.000178021e+00,9.999987342e-01
1.369366491e+00,1.000291952e+00,9.999973664e-01
1.563453791e+00,1.000393318e+00,9.999956453e-01
1.785050074e+00,1.000482048e+00,9.999935684e-01
2.038054330e+00,1.000558074e+00,9.999911330e-01
2.326918169e+00,1.000621328e+00,9.999883362e-01
2.656724154e+00,1.000671741e+00,9.999851755e-01
3.033275224e+00,1.000709247e+00,9.999816479e-01
3.463196799e+00,1.000733776e+00,9.999777507e-01
3.954053352e+00,1.000745262e+00,9.999734810e-01
4.514481509e+00,1.000743636e+00,9.999688359e-01
5.154342008e+00,1.000728830e+00,9.999638126e-01
5.884893201e+00,1.000700777e+00,9.999584081e-01
6.718989142e+00,1.000659409e+00,9.999526195e-01
7.671305757e+00,1.000604658e+00,9.999464437e-01
8.758599064e+00,1.000536456e+00,9.999398777e-01
1.000000000e+01,1.000454735e+00,9.999329185e-01
