k_Mpc,P_R,P_t
1.000000000e-06,2.894013285e-06,8.746654723e-12
1.141735102e-06,2.347019201e-06,8.746648426e-12
1.303559044e-06,1.903441838e-06,8.746640795e-12
1.488319119e-06,1.543720522e-06,8.746631558e-12
1.699266182e-06,1.251995143e-06,8.746620391e-12
1.940111848e-06,1.015405993e-06,8.746606909e-12
2.215093800e-06,8.235260815e-07,8.746590655e-12
2.529050347e-06,6.679008683e-07,8.746571091e-12
2.887505557e-06,5.416750857e-07,8.746547581e-12
3.296766453e-06,4.392901694e-07,8.746519382e-12
3.764033984e-06,3.562389395e-07,8.746485626e-12
4.297529726e-06,2.888666988e-07,8.746445303e-12
4.906640542e-06,2.342099647e-07,8.746397250e-12
5.602083742e-06,1.898657155e-07,8.746340129e-12
6.396095655e-06,1.538853774e-07,8.746272417e-12
7.302646928e-06,1.246888707e-07,8.746192393e-12
8.337688339e-06,1.009949223e-07,8.746098130e-12
9.519431450e-06,8.176456673e-08,8.745987495e-12
1.086866904e-05,6.615534345e-08,8.745858159e-12
1.240914096e-05,5.348416698e-08,8.745707616e-12
1.416795183e-05,4.319723373e-08,8.745533225e-12
1.617604793e-05,3.484563636e-08,8.745332267e-12
1.846876174e-05,2.806561030e-08,8.745102033e-12
2.108643358e-05,2.256254005e-08,8.744839935e-12
2.407512141e-05,1.809801724e-08,8.744543648e-12
2.748741121e-05,1.447937428e-08,8.744211292e-12
3.138334225e-05,1.155122145e-08,8.743841626e-12
3.583146348e-05,9.188595508e-09,8.743434265e-12
4.091003963e-05,7.291387447e-09,8.742989888e-12
4.670842829e-05,5.779758201e-09,8.742510421e-12
5.332865216e-05,4.590278357e-09,8.741999137e-12
6.088719414e-05,3.672549064e-09,8.741460654e-12
6.951704684e-05,2.986089942e-09,8.740900771e-12
7.937005260e-05,2.497338705e-09,8.740326115e-12
9.061957514e-05,2.176724498e-09,8.739743610e-12
1.034635499e-04,1.995973530e-09,8.739159797e-12
1.181279668e-04,1.926064089e-09,8.738580138e-12
1.348708462e-04,1.936466773e-09,8.738008435e-12
1.539867794e-04,1.996273095e-09,8.737446554e-12
1.758121114e-04,2.077279190e-09,8.736894548e-12
2.007308590e-04,2.158011297e-09,8.736351165e-12
2.291814679e-04,2.226587284e-09,8.735814551e-12
2.616645267e-04,2.280331055e-09,8.735282873e-12
2.987515753e-04,2.321981458e-09,8.734754656e-12
3.410951604e-04,2.355049337e-09,8.734228813e-12
3.894403179e-04,2.381471702e-09,8.733704525e-12
4.446376813e-04,2.402035807e-09,8.733181127e-12
5.076584486e-04,2.417412020e-09,8.732658065e-12
5.796114708e-04,2.428358197e-09,8.732134870e-12
6.617627620e-04,2.435559882e-09,8.731611148e-12
7.555577749e-04,2.439603998e-09,8.731086559e-12
8.626468336e-04,2.440997515e-09,8.730560810e-12
9.849141709e-04,2.440173949e-09,8.730033642e-12
1.124511082e-03,2.437501044e-09,8.729504825e-12
1.283893775e-03,2.433288949e-09,8.728974150e-12
1.465866591e-03,2.427798308e-09,8.728441430e-12
1.673631343e-03,2.421248371e-09,8.727906496e-12
1.910843652e-03,2.413825302e-09,8.727369204e-12
2.181677273e-03,2.405690292e-09,8.726829438e-12
2.490897525e-03,2.396985341e-09,8.726287117e-12
2.843945141e-03,2.387833415e-09,8.725742197e-12
3.247031997e-03,2.378333599e-09,8.725194666e-12
3.707250410e-03,2.368558770e-09,8.724644533e-12
4.232697927e-03,2.358560831e-09,8.724091817e-12
4.832619801e-03,2.348379131e-09,8.723536532e-12
5.517571664e-03,2.338046301e-09,8.722978684e-12
6.299605249e-03,2.327590665e-09,8.722418269e-12
7.192480445e-03,2.317036890e-09,8.721855274e-12
8.211907398e-03,2.306406192e-09,8.721289681e-12
9.375822935e-03,2.295716571e-09,8.720721466e-12
1.070470616e-02,2.284983125e-09,8.720150603e-12
1.222193878e-02,2.274218420e-09,8.719577064e-12
1.395421653e-02,2.263432855e-09,8.719000823e-12
1.593201884e-02,2.252635008e-09,8.718421851e-12
1.819014516e-02,2.241831933e-09,8.717840123e-12
2.076832725e-02,2.231029421e-09,8.717255610e-12
2.371192824e-02,2.220232221e-09,8.716668288e-12
2.707274082e-02,2.209444219e-09,8.716078130e-12
3.090989852e-02,2.198668598e-09,8.715485113e-12
3.529091615e-02,2.187907959e-09,8.714889211e-12
4.029287777e-02,2.177164425e-09,8.714290400e-12
4.600379293e-02,2.166439733e-09,8.713688656e-12
5.252414523e-02,2.155735298e-09,8.713083955e-12
5.996866034e-02,2.145052275e-09,8.712476273e-12
6.846832455e-02,2.134391606e-09,8.711865588e-12
7.817268955e-02,2.123754058e-09,8.711251874e-12
8.925250372e-02,2.113140256e-09,8.710635109e-12
1.019027165e-01,2.102550707e-09,8.710015269e-12
1.163459084e-01,2.091985827e-09,8.709392329e-12
1.328362077e-01,2.081445951e-09,8.708766267e-12
1.516637612e-01,2.070931352e-09,8.708137057e-12
1.731598399e-01,2.060442254e-09,8.707504676e-12
1.977026676e-01,2.049978836e-09,8.706869099e-12
2.257240755e-01,2.039541245e-09,8.706230301e-12
2.577171004e-01,2.029129600e-09,8.705588258e-12
2.942446601e-01,2.018743998e-09,8.704942945e-12
3.359494571e-01,2.008384516e-09,8.704294336e-12
3.835652878e-01,1.998051217e-09,8.703642405e-12
4.379299532e-01,1.987744155e-09,8.702987128e-12
5.000000000e-01,1.977463370e-09,8.702328477e-12
