ell,C_ell_over_smooth
2,0.840163694
3,0.882329141
4,0.915105118
5,0.934422167
6,0.946809050
7,0.955366166
8,0.961597573
9,0.966318122
10,0.970006190
11,0.972959974
12,0.975374288
13,0.977381507
14,0.979074594
15,0.980520523
16,0.981768760
17,0.982856647
18,0.983812775
19,0.984659408
20,0.985414193
21,0.986091255
22,0.986701990
23,0.987255715
24,0.987760146
25,0.988221704
26,0.988645755
27,0.989036819
28,0.989398741
29,0.989734807
30,0.990047841
31,0.990340272
32,0.990614191
33,0.990871417
34,0.991113539
35,0.991341953
36,0.991557882
37,0.991762407
38,0.991956476
39,0.992140928
40,0.992316511
41,0.992483898
42,0.992643696
43,0.992796448
44,0.992942646
45,0.993082727
46,0.993217088
47,0.993346088
48,0.993470064
49,0.993589325
50,0.993704155
