ell,C_ell_over_smooth
2,0.724163726
3,0.617888177
4,0.668915082
5,0.727298582
6,0.771988937
7,0.804504621
8,0.828906307
9,0.848033404
10,0.863520905
11,0.876327001
12,0.887075087
13,0.896209041
14,0.904058573
15,0.910872310
16,0.916839567
17,0.922106470
18,0.926787466
19,0.930973477
20,0.934737757
21,0.938139866
22,0.941228733
23,0.944044991
24,0.946622540
25,0.948989912
26,0.951171373
27,0.953187579
28,0.955056225
29,0.956792656
30,0.958410173
31,0.959920299
32,0.961333172
33,0.962657745
34,0.963901863
35,0.965072452
36,0.966175728
37,0.967217249
38,0.968201927
39,0.969134166
40,0.970017982
41,0.970857004
42,0.971654466
43,0.972413292
44,0.973136180
45,0.973825601
46,0.974483785
47,0.975112743
48,0.975714338
49,0.976290309
50,0.976842251
