k_Mpc,P_R,P_t
1.000000000e-06,1.707099921e-06,9.029932561e-12
1.086031892e-06,1.498309872e-06,9.029925842e-12
1.179465270e-06,1.315060862e-06,9.029918272e-12
1.280936898e-06,1.154227030e-06,9.029909748e-12
1.391138323e-06,1.013065158e-06,9.029900153e-12
1.510820584e-06,8.891678232e-07,9.029889360e-12
1.640799337e-06,7.804222926e-07,9.029877224e-12
1.781960408e-06,6.849744434e-07,9.029863586e-12
1.935265833e-06,6.011971041e-07,9.029848270e-12
2.101760413e-06,5.276622704e-07,9.029831080e-12
2.282578837e-06,4.631167238e-07,9.029811799e-12
2.478953413e-06,4.064606344e-07,9.029790187e-12
2.692222464e-06,3.567287833e-07,9.029765981e-12
2.923839456e-06,3.130740847e-07,9.029738889e-12
3.175382895e-06,2.747531249e-07,9.029708592e-12
3.448567092e-06,2.411134716e-07,9.029674739e-12
3.745253843e-06,2.115825373e-07,9.029636946e-12
4.067465116e-06,1.856578056e-07,9.029594795e-12
4.417396834e-06,1.628982553e-07,9.029547828e-12
4.797433840e-06,1.429168326e-07,9.029495552e-12
5.210166149e-06,1.253738472e-07,9.029437428e-12
5.658406598e-06,1.099711747e-07,9.029372880e-12
6.145210022e-06,9.644717077e-08,9.029301285e-12
6.673894065e-06,8.457220725e-08,9.029221977e-12
7.248061796e-06,7.414475489e-08,9.029134249e-12
7.871626264e-06,6.498794629e-08,9.029037347e-12
8.548837162e-06,5.694655974e-08,9.028930481e-12
9.284309795e-06,4.988437284e-08,9.028812820e-12
1.008305653e-05,4.368184058e-08,9.028683501e-12
1.095052096e-05,3.823405829e-08,9.028541637e-12
1.189261499e-05,3.344897489e-08,9.028386319e-12
1.291575915e-05,2.924582568e-08,9.028216631e-12
1.402692635e-05,2.555375824e-08,9.028031664e-12
1.523368936e-05,2.231062783e-08,9.027830525e-12
1.654427247e-05,1.946194181e-08,9.027612361e-12
1.796760753e-05,1.695993508e-08,9.027376378e-12
1.951339479e-05,1.476276060e-08,9.027121865e-12
2.119216906e-05,1.283378115e-08,9.026848219e-12
2.301537145e-05,1.114094991e-08,9.026554977e-12
2.499542739e-05,9.656268934e-09,9.026241846e-12
2.714583130e-05,8.355315707e-09,9.025908734e-12
2.948123851e-05,7.216828679e-09,9.025555784e-12
3.201756523e-05,6.222343605e-09,9.025183406e-12
3.477209694e-05,5.355872681e-09,9.024792302e-12
3.776360621e-05,4.603618841e-09,9.024383489e-12
4.101248069e-05,3.953717536e-09,9.023958315e-12
4.454086199e-05,3.395998327e-09,9.023518460e-12
4.837279661e-05,2.921758523e-09,9.023065923e-12
5.253439980e-05,2.523541324e-09,9.022603000e-12
5.705403360e-05,2.194911516e-09,9.022132232e-12
6.196250004e-05,1.930223272e-09,9.021656338e-12
6.729325113e-05,1.724377305e-09,9.021178132e-12
7.308261682e-05,1.572569002e-09,9.020700412e-12
7.937005260e-05,1.470035404e-09,9.020225846e-12
8.619840837e-05,1.411816943e-09,9.019756848e-12
9.361422050e-05,1.392558803e-09,9.019295461e-12
1.016680290e-04,1.406384812e-09,9.018843255e-12
1.104147218e-04,1.446880800e-09,9.018401260e-12
1.199139092e-04,1.507220298e-09,9.017969935e-12
1.302303297e-04,1.580449034e-09,9.017549196e-12
1.414342913e-04,1.659913652e-09,9.017138489e-12
1.536021509e-04,1.739776726e-09,9.016736902e-12
1.668168345e-04,1.815514483e-09,9.016343317e-12
1.811684024e-04,1.884263906e-09,9.015956552e-12
1.967546628e-04,1.944894727e-09,9.015575490e-12
2.136818386e-04,1.997745053e-09,9.015199163e-12
2.320652914e-04,2.044070786e-09,9.014826787e-12
2.520303074e-04,2.085378920e-09,9.014457753e-12
2.737129515e-04,2.122877992e-09,9.014091582e-12
2.972609945e-04,2.157230060e-09,9.013727889e-12
3.228349202e-04,2.188632812e-09,9.013366334e-12
3.506090191e-04,2.217086184e-09,9.013006616e-12
3.807725762e-04,2.242628315e-09,9.012648458e-12
4.135311613e-04,2.265412376e-09,9.012291609e-12
4.491080293e-04,2.285654031e-09,9.011935844e-12
4.877456427e-04,2.303561596e-09,9.011580961e-12
5.297073230e-04,2.319315262e-09,9.011226775e-12
5.752790460e-04,2.333079100e-09,9.010873118e-12
6.247713906e-04,2.345009717e-09,9.010519838e-12
6.785216552e-04,2.355255157e-09,9.010166793e-12
7.368961568e-04,2.363953320e-09,9.009813853e-12
8.002927271e-04,2.371232323e-09,9.009460896e-12
8.691434243e-04,2.377210991e-09,9.009107810e-12
9.439174773e-04,2.381999196e-09,9.008754489e-12
1.025124483e-03,2.385698303e-09,9.008400834e-12
1.113317882e-03,2.388401658e-09,9.008046751e-12
1.209098725e-03,2.390195121e-09,9.007692152e-12
1.313119776e-03,2.391157669e-09,9.007336958e-12
1.426089954e-03,2.391362074e-09,9.006981092e-12
1.548779171e-03,2.390875704e-09,9.006624487e-12
1.682023573e-03,2.389761409e-09,9.006267084e-12
1.826731243e-03,2.388078426e-09,9.005908831e-12
1.983888387e-03,2.385883042e-09,9.005549691e-12
2.154566058e-03,2.383228652e-09,9.005189633e-12
2.339927452e-03,2.380164962e-09,9.004828639e-12
2.541235837e-03,2.376736596e-09,9.004466701e-12
2.759863163e-03,2.372981948e-09,9.004103817e-12
2.997299412e-03,2.368933104e-09,9.003739989e-12
3.255162750e-03,2.364616905e-09,9.003375223e-12
3.535210559e-03,2.360056488e-09,9.003009521e-12
3.839351411e-03,2.355272610e-09,9.002642886e-12
4.169658076e-03,2.350284463e-09,9.002275316e-12
4.528381648e-03,2.345110032e-09,9.001906809e-12
4.917966887e-03,2.339766206e-09,9.001537356e-12
5.341068882e-03,2.334268773e-09,9.001166948e-12
5.800571141e-03,2.328632407e-09,9.000795576e-12
6.299605249e-03,2.322870667e-09,9.000423226e-12
6.841572206e-03,2.316996025e-09,9.000049886e-12
7.430165605e-03,2.311019903e-09,8.999675543e-12
8.069396808e-03,2.304952739e-09,8.999300183e-12
8.763622280e-03,2.298804046e-09,8.998923793e-12
9.517573283e-03,2.292582484e-09,8.998546360e-12
1.033638812e-02,2.286295926e-09,8.998167872e-12
1.122564714e-02,2.279951519e-09,8.997788315e-12
1.219141080e-02,2.273555755e-09,8.997407678e-12
1.324026093e-02,2.267114520e-09,8.997025949e-12
1.437934563e-02,2.260633153e-09,8.996643118e-12
1.561642793e-02,2.254116491e-09,8.996259174e-12
1.695993877e-02,2.247568920e-09,8.995874108e-12
1.841903438e-02,2.240994412e-09,8.995487908e-12
2.000365875e-02,2.234396564e-09,8.995100566e-12
2.172461136e-02,2.227778635e-09,8.994712072e-12
2.359362077e-02,2.221143574e-09,8.994322418e-12
2.562342460e-02,2.214494052e-09,8.993931596e-12
2.782785629e-02,2.207832484e-09,8.993539597e-12
3.022193940e-02,2.201161058e-09,8.993146413e-12
3.282199002e-02,2.194481751e-09,8.992752036e-12
3.564572791e-02,2.187796353e-09,8.992356458e-12
3.871239731e-02,2.181106482e-09,8.991959672e-12
4.204289809e-02,2.174413602e-09,8.991561671e-12
4.565992814e-02,2.167719037e-09,8.991162447e-12
4.958813813e-02,2.161023982e-09,8.990761994e-12
5.385429946e-02,2.154329519e-09,8.990360303e-12
5.848748672e-02,2.147636625e-09,8.989957368e-12
6.351927584e-02,2.140946183e-09,8.989553183e-12
6.898395930e-02,2.134258989e-09,8.989147740e-12
7.491877982e-02,2.127575766e-09,8.988741032e-12
8.136418417e-02,2.120897164e-09,8.988333053e-12
8.836409885e-02,2.114223769e-09,8.987923796e-12
9.596622943e-02,2.107556113e-09,8.987513254e-12
1.042223857e-01,2.100894675e-09,8.987101421e-12
1.131888347e-01,2.094239887e-09,8.986688289e-12
1.229266843e-01,2.087592138e-09,8.986273853e-12
1.335022994e-01,2.080951781e-09,8.985858105e-12
1.449877548e-01,2.074319134e-09,8.985441039e-12
1.574613256e-01,2.067694482e-09,8.985022648e-12
1.710080213e-01,2.061078084e-09,8.984602926e-12
1.857201649e-01,2.054470172e-09,8.984181866e-12
2.016980220e-01,2.047870958e-09,8.983759460e-12
2.190504844e-01,2.041280630e-09,8.983335703e-12
2.378958120e-01,2.034699358e-09,8.982910587e-12
2.583624387e-01,2.028127296e-09,8.982484107e-12
2.805898480e-01,2.021564583e-09,8.982056254e-12
3.047295234e-01,2.015011344e-09,8.981627023e-12
3.309459808e-01,2.008467691e-09,8.981196405e-12
3.594178896e-01,2.001933725e-09,8.980764396e-12
3.903392905e-01,1.995409537e-09,8.980330987e-12
4.239209181e-01,1.988895209e-09,8.979896171e-12
4.603916366e-01,1.982390816e-09,8.979459942e-12
5.000000000e-01,1.975896423e-09,8.979022293e-12
