k_over_kpivot,scalar_transfer,tensor_transfer
2.000000000e-05,1.197371662e+02,9.989086308e-01
2.172063783e-05,1.054252897e+02,9.989499960e-01
2.358930540e-05,9.282155798e+01,9.989910381e-01
2.561873796e-05,8.172184686e+01,9.990317212e-01
2.782276645e-05,7.194643598e+01,9.990720061e-01
3.021641168e-05,6.333709070e+01,9.991118499e-01
3.281598674e-05,5.575449298e+01,9.991512058e-01
3.563920816e-05,4.907597958e+01,9.991900229e-01
3.870531665e-05,4.319355072e+01,9.992282461e-01
4.203520826e-05,3.801211706e+01,9.992658156e-01
4.565157675e-05,3.344795618e+01,9.993026673e-01
4.957906825e-05,2.942735392e+01,9.993387323e-01
5.384444928e-05,2.588540812e+01,9.993739368e-01
5.847678911e-05,2.276497558e+01,9.994082027e-01
6.350765790e-05,2.001574510e+01,9.994414472e-01
6.897134185e-05,1.759342143e+01,9.994735834e-01
7.490507686e-05,1.545900707e+01,9.995045204e-01
8.134930232e-05,1.357817009e+01,9.995341642e-01
8.834793668e-05,1.192068792e+01,9.995624182e-01
9.594867680e-05,1.045995786e+01,9.995891845e-01
1.042033230e-04,9.172566570e+00,9.996143647e-01
1.131681320e-04,8.037911468e+00,9.996378617e-01
1.229042004e-04,7.037867945e+00,9.996595813e-01
1.334778813e-04,6.156496972e+00,9.996794343e-01
1.449612359e-04,5.379788356e+00,9.996973392e-01
1.574325253e-04,4.695435473e+00,9.997132245e-01
1.709767432e-04,4.092637733e+00,9.997270316e-01
1.856861959e-04,3.561927506e+00,9.997387187e-01
2.016611306e-04,3.095018505e+00,9.997482635e-01
2.190104191e-04,2.684672954e+00,9.997556672e-01
2.378522998e-04,2.324584980e+00,9.997609575e-01
2.583151831e-04,2.009277863e+00,9.997641921e-01
2.805385269e-04,1.734012762e+00,9.997654614e-01
3.046737871e-04,1.494706561e+00,9.997648904e-01
3.308854494e-04,1.287856366e+00,9.997626399e-01
3.593521505e-04,1.110468152e+00,9.997589058e-01
3.902678958e-04,9.599869335e-01,9.997539176e-01
4.238433811e-04,8.342259609e-01,9.997479342e-01
4.603074290e-04,7.312926490e-01,9.997412380e-01
4.999085479e-04,6.495096420e-01,9.997341265e-01
5.429166259e-04,5.873305640e-01,9.997269024e-01
5.896247703e-04,5.432518588e-01,9.997198614e-01
6.403513047e-04,5.157246986e-01,9.997132791e-01
6.954419387e-04,5.030741256e-01,9.997073982e-01
7.552721243e-04,5.034359594e-01,9.997024162e-01
8.202496139e-04,5.147246672e-01,9.996984762e-01
8.908172398e-04,5.346460579e-01,9.996956613e-01
9.674559321e-04,5.607656667e-01,9.996939942e-01
1.050687996e-03,5.906356085e-01,9.996934420e-01
1.141080672e-03,6.219691120e-01,9.996939264e-01
1.239250001e-03,6.528347651e-01,9.996953378e-01
1.345865023e-03,6.818266612e-01,9.996975515e-01
1.461652336e-03,7.081599907e-01,9.997004426e-01
1.587401052e-03,7.316523229e-01,9.997038976e-01
1.723968167e-03,7.525823257e-01,9.997078215e-01
