k_over_kpivot,scalar_transfer,tensor_transfer
2.000000000e-05,8.207748983e+03,9.980091980e-01
2.172063783e-05,7.224048846e+03,9.980519719e-01
2.358930540e-05,6.358265265e+03,9.980947401e-01
2.561873796e-05,5.596262045e+03,9.981375017e-01
2.782276645e-05,4.925597769e+03,9.981802555e-01
3.021641168e-05,4.335322607e+03,9.982230003e-01
3.281598674e-05,3.815799485e+03,9.982657346e-01
3.563920816e-05,3.358546696e+03,9.983084568e-01
3.870531665e-05,2.956099382e+03,9.983511651e-01
4.203520826e-05,2.601887624e+03,9.983938574e-01
4.565157675e-05,2.290129144e+03,9.984365314e-01
4.957906825e-05,2.015734875e+03,9.984791846e-01
5.384444928e-05,1.774225853e+03,9.985218139e-01
5.847678911e-05,1.561660069e+03,9.985644161e-01
6.350765790e-05,1.374568097e+03,9.986069875e-01
6.897134185e-05,1.209896433e+03,9.986495238e-01
7.490507686e-05,1.064957633e+03,9.986920205e-01
8.134930232e-05,9.373864243e+02,9.987344721e-01
8.834793668e-05,8.251010838e+02,9.987768729e-01
9.594867680e-05,7.262694416e+02,9.988192161e-01
1.042033230e-04,6.392789637e+02,9.988614944e-01
1.131681320e-04,5.627104208e+02,9.989036994e-01
1.229042004e-04,4.953147133e+02,9.989458218e-01
1.334778813e-04,4.359924758e+02,9.989878511e-01
1.449612359e-04,3.837761259e+02,9.990297758e-01
1.574325253e-04,3.378140660e+02,9.990715828e-01
1.709767432e-04,2.973567782e+02,9.991132578e-01
1.856861959e-04,2.617445872e+02,9.991547845e-01
2.016611306e-04,2.303968895e+02,9.991961450e-01
2.190104191e-04,2.028026747e+02,9.992373195e-01
2.378522998e-04,1.785121824e+02,9.992782859e-01
2.583151831e-04,1.571295600e+02,9.993190196e-01
2.805385269e-04,1.383064002e+02,9.993594935e-01
3.046737871e-04,1.217360535e+02,9.993996778e-01
3.308854494e-04,1.071486228e+02,9.994395394e-01
3.593521505e-04,9.430655744e+01,9.994790419e-01
3.902678958e-04,8.300077626e+01,9.995181456e-01
4.238433811e-04,7.304725482e+01,9.995568065e-01
4.603074290e-04,6.428402204e+01,9.995949769e-01
4.999085479e-04,5.656851688e+01,9.996326045e-01
5.429166259e-04,4.977526189e+01,9.996696323e-01
5.896247703e-04,4.379381573e+01,9.997059987e-01
6.403513047e-04,3.852697113e+01,9.997416370e-01
6.954419387e-04,3.388916896e+01,9.997764751e-01
7.552721243e-04,2.980510249e+01,9.998104358e-01
8.202496139e-04,2.620848894e+01,9.998434365e-01
8.908172398e-04,2.304098852e+01,9.998753892e-01
9.674559321e-04,2.025125306e+01,9.999062007e-01
1.050687996e-03,1.779408884e+01,9.999357732e-01
1.141080672e-03,1.562971997e+01,9.999640041e-01
1.239250001e-03,1.372314025e+01,9.999907872e-01
1.345865023e-03,1.204354302e+01,1.000016013e+00
1.461652336e-03,1.056381955e+01,1.000039571e+00
1.587401052e-03,9.260118077e+00,1.000061348e+00
1.723968167e-03,8.111456036e+00,1.000081235e+00
1.872284410e-03,7.099379313e+00,1.000099123e+00
2.033360580e-03,6.207662968e+00,1.000114910e+00
2.208294437e-03,5.422048507e+00,1.000128502e+00
2.398278185e-03,4.730013434e+00,1.000139815e+00
2.604606594e-03,4.120569257e+00,1.000148782e+00
2.828685826e-03,3.584084597e+00,1.000155352e+00
3.072043019e-03,3.112130362e+00,1.000159496e+00
3.336336691e-03,2.697344240e+00,1.000161214e+00
3.623368048e-03,2.333311987e+00,1.000160533e+00
3.935093255e-03,2.014463070e+00,1.000157516e+00
4.273636772e-03,1.735978348e+00,1.000152263e+00
4.641305828e-03,1.493707389e+00,1.000144915e+00
5.040606148e-03,1.284092992e+00,1.000135653e+00
5.474259030e-03,1.104100358e+00,1.000124701e+00
5.945219890e-03,9.511482409e-01,1.000112321e+00
6.456698404e-03,8.230393955e-01,1.000098812e+00
7.012180381e-03,7.178878318e-01,1.000084502e+00
7.615451524e-03,6.340408548e-01,1.000069738e+00
8.270623225e-03,5.699949260e-01,1.000054875e+00
8.982160587e-03,5.243060688e-01,1.000040263e+00
9.754912854e-03,4.954980577e-01,1.000026232e+00
1.059414646e-02,4.819748876e-01,1.000013073e+00
1.150558092e-02,4.819477150e-01,1.000001027e+00
1.249542781e-02,4.933897918e-01,9.999902707e-01
1.357043310e-02,5.140346028e-01,9.999809097e-01
1.473792314e-02,5.414307133e-01,9.999729765e-01
1.600585454e-02,5.730599401e-01,9.999664350e-01
1.738286849e-02,6.065124094e-01,9.999611921e-01
1.887834955e-02,6.396939295e-01,9.999571137e-01
2.050248967e-02,6.710222699e-01,9.999540450e-01
2.226635764e-02,6.995573549e-01,9.999518290e-01
2.418197451e-02,7.250157125e-01,9.999503218e-01
2.626239552e-02,7.476481115e-01,9.999494029e-01
2.852179909e-02,7.680073910e-01,9.999489768e-01
3.097558342e-02,7.866826034e-01,9.999489707e-01
3.364047145e-02,8.040970373e-01,9.999493280e-01
3.653462485e-02,8.204394268e-01,9.999500021e-01
3.967776774e-02,8.357265305e-01,9.999509519e-01
4.309132116e-02,8.499242936e-01,9.999521399e-01
4.679854903e-02,8.630368310e-01,9.999535320e-01
5.082471673e-02,8.751213821e-01,9.999550972e-01
5.519726326e-02,8.862560937e-01,9.999568076e-01
5.994598823e-02,8.965117229e-01,9.999586382e-01
6.510325500e-02,9.059480101e-01,9.999605661e-01
7.070421118e-02,9.146207072e-01,9.999625706e-01
7.678702822e-02,9.225842194e-01,9.999646325e-01
8.339316151e-02,9.298903527e-01,9.999667342e-01
9.056763295e-02,9.365876966e-01,9.999688594e-01
9.835933774e-02,9.427218052e-01,9.999709928e-01
1.068213776e-01,9.483352844e-01,9.999731204e-01
1.160114228e-01,9.534678472e-01,9.999752288e-01
1.259921050e-01,9.581564200e-01,9.999773055e-01
1.368314441e-01,9.624352714e-01,9.999793387e-01
1.486033121e-01,9.663361674e-01,9.999813175e-01
1.613879362e-01,9.698885604e-01,9.999832315e-01
1.752724456e-01,9.731198268e-01,9.999850714e-01
1.903514657e-01,9.760555633e-01,9.999868287e-01
2.067277623e-01,9.787199382e-01,9.999884960e-01
2.245129428e-01,9.811360507e-01,9.999900670e-01
2.438282160e-01,9.833261703e-01,9.999915370e-01
2.648052186e-01,9.853116712e-01,9.999929024e-01
2.875869125e-01,9.871125564e-01,9.999941612e-01
3.123285586e-01,9.887467377e-01,9.999953125e-01
3.391987754e-01,9.902295072e-01,9.999963561e-01
3.683806877e-01,9.915735671e-01,9.999972924e-01
4.000731751e-01,9.927895700e-01,9.999981219e-01
4.344922272e-01,9.938868143e-01,9.999988448e-01
4.718724154e-01,9.948737875e-01,9.999994613e-01
5.124684919e-01,9.957584639e-01,9.999999708e-01
5.565571257e-01,9.965484122e-01,1.000000373e+00
6.044387881e-01,9.972508068e-01,1.000000666e+00
6.564398004e-01,9.978724071e-01,1.000000849e+00
7.129145582e-01,9.984195377e-01,1.000000920e+00
7.742479463e-01,9.988980798e-01,1.000000877e+00
8.408579617e-01,9.993134760e-01,1.000000720e+00
9.131985628e-01,9.996707444e-01,1.000000445e+00
9.917627627e-01,9.999744990e-01,1.000000052e+00
1.077085989e+00,1.000228974e+00,9.999995373e-01
1.169749734e+00,1.000438048e+00,9.999989006e-01
1.270385517e+00,1.000605272e+00,9.999981398e-01
1.379679186e+00,1.000733892e+00,9.999972532e-01
1.498375596e+00,1.000826876e+00,9.999962394e-01
1.627283683e+00,1.000886933e+00,9.999950968e-01
1.767281977e+00,1.000916539e+00,9.999938240e-01
1.919324589e+00,1.000917952e+00,9.999924196e-01
2.084447714e+00,1.000893232e+00,9.999908822e-01
2.263776694e+00,1.000844258e+00,9.999892108e-01
2.458533685e+00,1.000772744e+00,9.999874039e-01
2.670045989e+00,1.000680254e+00,9.999854605e-01
