ell,C_ell_over_smooth
2,2.242612362
3,1.092296157
4,0.723215270
5,0.589322721
6,0.551895230
7,0.557997326
8,0.583223381
9,0.615315917
10,0.648062885
11,0.678526093
12,0.705571155
13,0.729024431
14,0.749179385
15,0.766511174
16,0.781520187
17,0.794655934
18,0.806288138
19,0.816704737
20,0.826122759
21,0.834702937
22,0.842564723
23,0.849798884
24,0.856476460
25,0.862655483
26,0.868385458
27,0.873709516
28,0.878665914
29,0.883289180
30,0.887610293
31,0.891656828
32,0.895453543
33,0.899022606
34,0.902383591
35,0.905553838
36,0.908548947
37,0.911382876
38,0.914067964
39,0.916615293
40,0.919035011
41,0.921336303
42,0.923527370
43,0.925615663
44,0.927608092
45,0.929511021
46,0.931330185
47,0.933070764
48,0.934737590
49,0.936335206
50,0.937867767
