k_Mpc,P_R,P_t
1.000000000e-06,1.188551664e-06,8.753847883e-12
1.086031892e-06,1.043186040e-06,8.753839045e-12
1.179465270e-06,9.156002339e-07,8.753829099e-12
1.280936898e-06,8.036183846e-07,8.753817911e-12
1.391138323e-06,7.053309749e-07,8.753805334e-12
1.510820584e-06,6.190622225e-07,8.753791202e-12
1.640799337e-06,5.433414665e-07,8.753775334e-12
1.781960408e-06,4.768780561e-07,8.753757527e-12
1.935265833e-06,4.185393137e-07,8.753737558e-12
2.101760413e-06,3.673311962e-07,8.753715180e-12
2.282578837e-06,3.223813240e-07,8.753690120e-12
2.478953413e-06,2.829240875e-07,8.753662079e-12
2.692222464e-06,2.482875772e-07,8.753630727e-12
2.923839456e-06,2.178821141e-07,8.753595704e-12
3.175382895e-06,1.911901838e-07,8.753556615e-12
3.448567092e-06,1.677576034e-07,8.753513031e-12
3.745253843e-06,1.471857699e-07,8.753464481e-12
4.067465116e-06,1.291248574e-07,8.753410460e-12
4.417396834e-06,1.132678473e-07,8.753350416e-12
4.797433840e-06,9.934528979e-08,8.753283760e-12
5.210166149e-06,8.712070595e-08,8.753209854e-12
5.658406598e-06,7.638655394e-08,8.753128021e-12
6.145210022e-06,6.696068860e-08,8.753037538e-12
6.673894065e-06,5.868325499e-08,8.752937641e-12
7.248061796e-06,5.141396250e-08,8.752827526e-12
7.871626264e-06,4.502969314e-08,8.752706354e-12
8.548837162e-06,3.942240324e-08,8.752573255e-12
9.284309795e-06,3.449728259e-08,8.752427334e-12
1.008305653e-05,3.017113984e-08,8.752267684e-12
1.095052096e-05,2.637098651e-08,8.752093391e-12
1.189261499e-05,2.303279547e-08,8.751903554e-12
1.291575915e-05,2.010041291e-08,8.751697297e-12
1.402692635e-05,1.752460500e-08,8.751473789e-12
1.523368936e-05,1.526222310e-08,8.751232270e-12
1.654427247e-05,1.327547317e-08,8.750972069e-12
1.796760753e-05,1.153127688e-08,8.750692642e-12
