k_Mpc,P_R,P_t
1.000000000e-06,7.542516670e-06,8.692133002e-12
1.086031892e-06,6.619595409e-06,8.692131434e-12
1.179465270e-06,5.809632632e-06,8.692129659e-12
1.280936898e-06,5.098800384e-06,8.692127652e-12
1.391138323e-06,4.474963640e-06,8.692125382e-12
1.510820584e-06,3.927473031e-06,8.692122815e-12
1.640799337e-06,3.446982951e-06,8.692119915e-12
1.781960408e-06,3.025291932e-06,8.692116637e-12
1.935265833e-06,2.655202564e-06,8.692112936e-12
2.101760413e-06,2.330398567e-06,8.692108757e-12
2.282578837e-06,2.045336912e-06,8.692104041e-12
2.478953413e-06,1.795153150e-06,8.692098719e-12
2.692222464e-06,1.575578335e-06,8.692092719e-12
2.923839456e-06,1.382866117e-06,8.692085954e-12
3.175382895e-06,1.213728757e-06,8.692078333e-12
3.448567092e-06,1.065280986e-06,8.692069749e-12
3.745253843e-06,9.349907281e-07,8.692060087e-12
4.067465116e-06,8.206358619e-07,8.692049215e-12
4.417396834e-06,7.202662726e-07,8.692036990e-12
4.797433840e-06,6.321705532e-07,8.692023251e-12
5.210166149e-06,5.548467808e-07,8.692007819e-12
5.658406598e-06,4.869768711e-07,8.691990496e-12
6.145210022e-06,4.274040729e-07,8.691971063e-12
6.673894065e-06,3.751132177e-07,8.691949277e-12
7.248061796e-06,3.292133879e-07,8.691924873e-12
7.871626264e-06,2.889227063e-07,8.691897555e-12
8.548837162e-06,2.535549881e-07,8.691866999e-12
9.284309795e-06,2.225080271e-07,8.691832852e-12
1.008305653e-05,1.952533164e-07,8.691794723e-12
1.095052096e-05,1.713270266e-07,8.691752189e-12
1.189261499e-05,1.503220895e-07,8.691704786e-12
1.291575915e-05,1.318812508e-07,8.691652014e-12
1.402692635e-05,1.156909731e-07,8.691593326e-12
1.523368936e-05,1.014760856e-07,8.691528137e-12
1.654427247e-05,8.899508886e-08,8.691455814e-12
1.796760753e-05,7.803603494e-08,8.691375681e-12
1.951339479e-05,6.841291139e-08,8.691287018e-12
2.119216906e-05,5.996246871e-08,8.691189059e-12
