k_over_kpivot,scalar_transfer,tensor_transfer
2.000000000e-05,4.889043646e+02,9.987208890e-01
2.172063783e-05,4.304518785e+02,9.987625717e-01
2.358930540e-05,3.789890584e+02,9.988041588e-01
2.561873796e-05,3.336796753e+02,9.988456386e-01
2.782276645e-05,2.937875657e+02,9.988869977e-01
3.021641168e-05,2.586646559e+02,9.989282215e-01
3.281598674e-05,2.277404201e+02,9.989692935e-01
3.563920816e-05,2.005125999e+02,9.990101955e-01
3.870531665e-05,1.765390344e+02,9.990509072e-01
4.203520826e-05,1.554304684e+02,9.990914063e-01
4.565157675e-05,1.368442213e+02,9.991316679e-01
4.957906825e-05,1.204786130e+02,9.991716646e-01
5.384444928e-05,1.060680583e+02,9.992113661e-01
5.847678911e-05,9.337874692e+01,9.992507392e-01
6.350765790e-05,8.220484150e+01,9.992897471e-01
6.897134185e-05,7.236513030e+01,9.993283499e-01
7.490507686e-05,6.370008055e+01,9.993665034e-01
8.134930232e-05,5.606924438e+01,9.994041598e-01
8.834793668e-05,4.934897534e+01,9.994412667e-01
9.594867680e-05,4.343041817e+01,9.994777675e-01
1.042033230e-04,3.821773913e+01,9.995136007e-01
1.131681320e-04,3.362656825e+01,9.995487001e-01
1.229042004e-04,2.958262794e+01,9.995829946e-01
1.334778813e-04,2.602052588e+01,9.996164078e-01
1.449612359e-04,2.288269240e+01,9.996488586e-01
1.574325253e-04,2.011844509e+01,9.996802611e-01
1.709767432e-04,1.768316555e+01,9.997105246e-01
1.856861959e-04,1.553757475e+01,9.997395542e-01
2.016611306e-04,1.364709534e+01,9.997672512e-01
2.190104191e-04,1.198129045e+01,9.997935141e-01
2.378522998e-04,1.051336998e+01,9.998182393e-01
2.583151831e-04,9.219756291e+00,9.998413223e-01
2.805385269e-04,8.079702285e+00,9.998626593e-01
3.046737871e-04,7.074955657e+00,9.998821490e-01
3.308854494e-04,6.189463911e+00,9.998996945e-01
3.593521505e-04,5.409115323e+00,9.999152060e-01
3.902678958e-04,4.721511634e+00,9.999286034e-01
4.238433811e-04,4.115768749e+00,9.999398196e-01
4.603074290e-04,3.582342145e+00,9.999488037e-01
4.999085479e-04,3.112874015e+00,9.999555248e-01
5.429166259e-04,2.700059482e+00,9.999599756e-01
5.896247703e-04,2.337529416e+00,9.999621764e-01
6.403513047e-04,2.019747517e+00,9.999621787e-01
6.954419387e-04,1.741919420e+00,9.999600683e-01
7.552721243e-04,1.499911529e+00,9.999559678e-01
8.202496139e-04,1.290177278e+00,9.999500387e-01
8.908172398e-04,1.109688353e+00,9.999424810e-01
9.674559321e-04,9.558683456e-01,9.999335327e-01
1.050687996e-03,8.265262380e-01,9.999234657e-01
1.141080672e-03,7.197872245e-01,9.999125808e-01
1.239250001e-03,6.340187962e-01,9.999011991e-01
1.345865023e-03,5.677508555e-01,9.998896522e-01
1.461652336e-03,5.195901245e-01,9.998782696e-01
1.587401052e-03,4.881313488e-01,9.998673639e-01
1.723968167e-03,4.718708165e-01,9.998572173e-01
1.872284410e-03,4.691312356e-01,9.998480665e-01
2.033360580e-03,4.780104157e-01,9.998400913e-01
2.208294437e-03,4.963683481e-01,9.998334063e-01
2.398278185e-03,5.218665506e-01,9.998280574e-01
2.604606594e-03,5.520681690e-01,9.998240255e-01
2.828685826e-03,5.845960796e-01,9.998212349e-01
3.072043019e-03,6.173295940e-01,9.998195685e-01
3.336336691e-03,6.486017219e-01,9.998188847e-01
3.623368048e-03,6.773452921e-01,9.998190363e-01
3.935093255e-03,7.031368094e-01,9.998198854e-01
4.273636772e-03,7.261091635e-01,9.998213139e-01
4.641305828e-03,7.467474044e-01,9.998232272e-01
5.040606148e-03,7.656312732e-01,9.998255527e-01
5.474259030e-03,7.832176194e-01,9.998282344e-01
5.945219890e-03,7.997405524e-01,9.998312268e-01
6.456698404e-03,8.152457395e-01,9.998344905e-01
7.012180381e-03,8.297019297e-01,9.998379896e-01
7.615451524e-03,8.431001374e-01,9.998416915e-01
8.270623225e-03,8.554848767e-01,9.998455665e-01
8.982160587e-03,8.669295217e-01,9.998495879e-01
9.754912854e-03,8.775048874e-01,9.998537317e-01
1.059414646e-02,8.872704723e-01,9.998579759e-01
1.150558092e-02,8.962804846e-01,9.998623009e-01
1.249542781e-02,9.045877937e-01,9.998666882e-01
1.357043310e-02,9.122431318e-01,9.998711212e-01
1.473792314e-02,9.192941964e-01,9.998755842e-01
1.600585454e-02,9.257857420e-01,9.998800629e-01
1.738286849e-02,9.317596931e-01,9.998845438e-01
1.887834955e-02,9.372551846e-01,9.998890142e-01
2.050248967e-02,9.423086508e-01,9.998934624e-01
2.226635764e-02,9.469539406e-01,9.998978770e-01
2.418197451e-02,9.512224580e-01,9.999022478e-01
2.626239552e-02,9.551433343e-01,9.999065649e-01
2.852179909e-02,9.587436443e-01,9.999108194e-01
3.097558342e-02,9.620486784e-01,9.999150030e-01
3.364047145e-02,9.650822724e-01,9.999191088e-01
3.653462485e-02,9.678671622e-01,9.999231306e-01
