ell,C_ell_over_smooth
2,0.884397052
3,0.921292539
4,0.939517628
5,0.950485797
6,0.957853919
7,0.963162368
8,0.967179589
9,0.970333955
10,0.972883432
11,0.974992268
12,0.976769602
13,0.978290590
14,0.979608684
15,0.980763040
16,0.981783102
17,0.982691528
18,0.983506089
19,0.984240942
20,0.984907523
21,0.985515172
22,0.986071592
23,0.986583199
24,0.987055374
25,0.987492663
26,0.987898939
27,0.988277515
28,0.988631243
29,0.988962596
30,0.989273725
31,0.989566509
32,0.989842599
33,0.990103454
34,0.990350362
35,0.990584467
36,0.990806792
37,0.991018252
38,0.991219668
39,0.991411774
40,0.991595240
41,0.991770671
42,0.991938611
43,0.992099558
44,0.992253965
45,0.992402250
46,0.992544791
47,0.992681934
48,0.992813999
49,0.992941283
50,0.993064057
